# Wavemumber(cm^-1)  phase  N  K
412.7	0.1544	3.009	0.6609
414.6	0.1509	3.026	0.6524
416.5	0.1491	3.038	0.6501
418.5	0.1486	3.046	0.6512
420.4	0.1487	3.047	0.6523
422.3	0.1488	3.042	0.6505
424.3	0.1482	3.035	0.6438
426.2	0.1466	3.03	0.6335
428.1	0.1446	3.029	0.6234
430	0.1427	3.03	0.6147
432	0.1408	3.029	0.6051
433.9	0.1386	3.028	0.5944
435.8	0.1361	3.029	0.5831
437.8	0.1332	3.03	0.5697
439.7	0.1299	3.035	0.5567
441.6	0.1269	3.043	0.5461
443.5	0.1239	3.049	0.5344
445.5	0.1206	3.06	0.5231
447.4	0.1182	3.078	0.5191
449.3	0.1176	3.092	0.5217
451.3	0.1173	3.094	0.521
453.2	0.1159	3.095	0.5146
455.1	0.1141	3.105	0.5099
457	0.1132	3.117	0.5103
459	0.1129	3.122	0.5105
460.9	0.1118	3.123	0.506
462.8	0.11	3.132	0.5006
464.8	0.1091	3.15	0.5027
466.7	0.1101	3.165	0.5131
468.6	0.1119	3.167	0.5226
470.5	0.1132	3.166	0.5289
472.5	0.1144	3.167	0.5353
474.4	0.1156	3.163	0.54
476.3	0.1165	3.161	0.5436
478.3	0.1179	3.16	0.5501
480.2	0.1196	3.152	0.5551
482.1	0.1206	3.139	0.555
484	0.1205	3.127	0.5497
486	0.1195	3.118	0.5415
487.9	0.118	3.113	0.5322
489.8	0.1165	3.112	0.5244
491.8	0.1154	3.112	0.5188
493.7	0.1143	3.107	0.5116
495.6	0.1124	3.102	0.5009
497.5	0.1099	3.099	0.4875
499.5	0.1062	3.097	0.4694
501.4	0.1005	3.101	0.4444
